Customer ID,Name,Email,Signup Date,Age,Gender,City,State
1,Lennie Jahnisch,ljahnisch0@uol.com.br,5/2/2022,79,Male,Carson City,NV
2,Lotti Flecknell,lflecknell1@nifty.com,7/31/2017,73,Female,San Francisco,CA
3,Guendolen Grafhom,ggrafhom2@smugmug.com,3/3/2015,66,Female,Bronx,NY
4,Blayne Gerriets,bgerriets3@jigsy.com,9/5/2013,72,Male,Richmond,VA
5,Carmelina Pala,cpala4@multiply.com,12/31/2011,74,Female,Greenville,SC
6,Jaymie Osban,josban5@cocolog-nifty.com,4/24/2014,40,Male,Cape Coral,FL
7,Amitie Merrill,amerrill6@chron.com,10/25/2012,18,Female,Peoria,IL
8,Talbot Quince,tquince7@miibeian.gov.cn,1/22/2022,85,Male,Los Angeles,CA
9,Glennis Woolford,gwoolford8@abc.net.au,4/27/2021,24,Female,Henderson,NV
10,Cyrillus Le Count,cle9@cornell.edu,6/20/2019,32,Male,Reston,VA
11,Alexandro Poleykett,apoleyketta@ycombinator.com,3/5/2013,19,Male,Berkeley,CA
12,Boy Taberner,btabernerb@gizmodo.com,6/25/2021,72,Male,Lancaster,PA
13,Domenic Micklewright,dmicklewrightc@privacy.gov.au,7/5/2010,43,Male,Saint Louis,MO
14,Cally Mugridge,cmugridged@istockphoto.com,12/11/2017,65,Female,New York City,NY
15,Bucky Goshawk,bgoshawke@aboutads.info,7/16/2019,43,Male,Burbank,CA
16,Earl Gentile,egentilef@discuz.net,5/8/2015,46,Male,Cincinnati,OH
17,Harwilll Sygrove,hsygroveg@bbb.org,12/12/2011,65,Male,Orange,CA
18,Den Crufts,dcruftsh@umich.edu,10/23/2011,69,Male,Arlington,VA
19,Lindi Dark,ldarki@i2i.jp,10/19/2021,28,Female,Saint Louis,MO
20,Domingo Willder,dwillderj@cyberchimps.com,11/12/2012,95,Male,Arlington,TX
21,Woodman Sonnenschein,wsonnenscheink@mlb.com,1/28/2011,94,Male,Washington,DC
22,Victor Salsbury,vsalsburyl@odnoklassniki.ru,8/18/2014,65,Male,Grand Rapids,MI
23,Emilee Wilkin,ewilkinm@people.com.cn,5/1/2017,97,Bigender,Dayton,OH
